title,genre,year,picture
Toy story,Adventure,1995,http://content7.flixster.com/movie/10/93/63/10936393_det.jpg
Jumanji,Adventure,1995,http://content8.flixster.com/movie/56/79/73/5679734_det.jpg
Grumpy Old Men,Comedy,1993,http://content6.flixster.com/movie/25/60/256020_det.jpg
Father of the Bride Part II,Comedy,1995,http://content8.flixster.com/movie/25/54/255426_det.jpg
Heat,Action,1995,http://content9.flixster.com/movie/26/80/268099_det.jpg
Sabrina,Comedy,1954,http://content7.flixster.com/movie/10/93/36/10933669_det.jpg
Tom and Huck,Adventure,1995,http://content9.flixster.com/movie/26/16/261691_det.jpg
Sudden Death,Action,1995,http://content8.flixster.com/movie/27/91/279122_det.jpg
GoldenEye,Action,1995,http://content9.flixster.com/movie/26/66/266699_det.jpg
The American President,Comedy,1995,http://content7.flixster.com/movie/25/42/254205_det.jpg
Dracula: Dead and Loving It,Comedy,1995,http://content8.flixster.com/movie/10/89/17/10891774_det.jpg
Balto,Animation,1995,http://content7.flixster.com/movie/25/16/251605_det.jpg
Nixon,Drama,1995,http://content6.flixster.com/movie/28/30/283016_det.jpg
Cutthroat Island,Action,1995,http://content6.flixster.com/movie/25/69/256908_det.jpg
Casino,Crime,1995,http://content8.flixster.com/movie/10/87/61/10876102_det.jpg
Sense and Sensibility,Comedy,1995,http://content6.flixster.com/movie/11/12/50/11125040_det.jpg
Four Rooms,Comedy,1995,http://content7.flixster.com/movie/93/49/77/9349773_det.jpg
Ace Ventura: When Nature Calls,Comedy,1995,http://content7.flixster.com/movie/10/94/18/10941853_det.jpg
Money Train,Action,1995,http://content9.flixster.com/movie/11/12/51/11125103_det.jpg
Get Shorty,Action,1995,http://content7.flixster.com/movie/98/65/89/9865893_det.jpg
Copycat,Crime,1995,http://content9.flixster.com/movie/27/27/272723_det.jpg
Ninja Assassin,Action,2009,http://content6.flixster.com/movie/10/89/12/10891232_det.jpg
Powder,Drama,1995,http://content7.flixster.com/movie/25/59/255901_det.jpg
Leaving Las Vegas,Drama,1995,http://content7.flixster.com/movie/10/90/25/10902561_det.jpg
Othello,Drama,1995,http://content6.flixster.com/movie/10/92/98/10929892_det.jpg
Now and Then,Drama,1995,http://content6.flixster.com/movie/55/36/64/5536644_det.jpg
Persuasion,Drama,1995,http://content6.flixster.com/movie/11/12/73/11127360_det.jpg
La cité des enfants perdus,Adventure,1995,http://content6.flixster.com/movie/26/78/267824_det.jpg
Yao a yao yao dao waipo qiao,Crime,1995,http://content8.flixster.com/movie/10/90/31/10903162_det.jpg
Dangerous Minds,Drama,1995,http://content7.flixster.com/movie/26/98/269813_det.jpg
Twelve Monkeys,Sci-Fi,1995,http://content6.flixster.com/movie/10/93/02/10930244_det.jpg
Babe,Children,1995,http://content7.flixster.com/movie/25/32/253205_det.jpg
Carrington,Drama,1995,http://content7.flixster.com/movie/28/00/280009_det.jpg
Dead Man Walking,Crime,1995,http://content6.flixster.com/movie/10/88/77/10887764_det.jpg
Clueless,Comedy,1995,http://content8.flixster.com/movie/10/85/01/10850110_det.jpg
Richard III,Drama,1995,http://content7.flixster.com/movie/26/89/268909_det.jpg
Dead Presidents,Action,1995,http://content7.flixster.com/movie/26/95/269521_det.jpg
